Discriminator Loss,Generator Loss
-1.2792193573665924,-3.978966347420565
-1.280247688870252,-4.012778754367205
-1.2790783731722593,-4.064770053588375
-1.2800836042988306,-4.105391478053934
-1.2808731629923873,-4.153658499758431
-1.2809767513325023,-4.192391140155826
-1.2807520891927717,-4.243876717896636
-1.2811751648411662,-4.266659639946588
-1.280551026506888,-4.306363996426882
-1.2808536280064535,-4.339528348364859
-1.2811449763354097,-4.371606990319438
-1.2819253866387303,-4.4093861160030405
-1.2821791324823109,-4.428429383824883
-1.2822953453117627,-4.472936008546627
-1.2821280752260586,-4.503798436455302
-1.2827659944442893,-4.5371342090197
-1.2824187137406509,-4.574676246609958
-1.2826630589055354,-4.615192462887342
-1.28264369506906,-4.653219804807727
-1.2825526422740023,-4.68834974023616
-1.2821429255791075,-4.715607400389959
-1.2828203630421688,-4.72308506326007
-1.2825232771456947,-4.743748928413454
-1.2829818094453844,-4.773675500252168
-1.283120713791149,-4.7919008907928475
-1.2830126893661995,-4.815901206584341
-1.282651765829403,-4.8250117341443035
-1.2832483473130922,-4.846203569579358
-1.2830543285081626,-4.8770736662148115
-1.282179616574739,-4.9220690244637195
-1.2830912713298965,-4.952301943379483
-1.2835460478873284,-4.968200801318253
-1.2812378456362112,-4.816797969729235
-1.2808354606279235,-4.758108358604187
-1.2808344800683245,-4.697868927321706
-1.2814843838295311,-4.68179372634095
-1.2816365863113488,-4.721348844148464
-1.2797709674251652,-4.839337022935825
-1.2787288495032043,-5.020652619166594
-1.2797787520536392,-5.190096936601538
-1.280896001772385,-5.307617666358252
-1.2787210585880218,-5.217760283787093
-1.2797932866765653,-5.17883818386268
-1.2791959475396568,-5.156758296596759
-1.2793487067776583,-5.152178345152646
-1.2788271645480822,-5.164447627179482
-1.2789800506268731,-5.189900707380466
-1.2796535096978332,-5.198480141238557
-1.2800050797463716,-5.227389997889197
-1.2800992667737643,-5.211929121436219
-1.2807807588895477,-5.226681649841788
-1.2807664881619218,-5.21875957010486
-1.280462341277525,-5.213211286613618
-1.2812748574891593,-5.205886221959906
-1.281526110539683,-5.191724906218872
-1.2809419459411542,-5.203550271513672
-1.281414128114987,-5.20436065995863
-1.2812416113884986,-5.212539942949932
-1.2804884951355775,-5.226923793453026
-1.28204359981796,-5.230720328532444
-1.2829827322358218,-5.242164101208066
-1.281601592018833,-5.2689102412368864
-1.2822144938781836,-5.313713814828113
-1.2813756233548506,-5.421493565249754
-1.2807570223673108,-5.527887740356227
-1.2814071420190518,-5.542680193602291
-1.281554391273789,-5.579008989780518
-1.2811769847687213,-5.608328286848301
-1.2790321246781897,-5.6047335284203985
-1.2786740482416554,-5.608858810816674
-1.2789957195097994,-5.51753976259705
-1.2788183564920654,-5.51588399866502
-1.2801778427222548,-5.510286110915945
-1.2806006892332331,-5.484339835830937
-1.2814029509447853,-5.469843414500646
-1.2823616926846015,-5.444542238109879
-1.2824207806233532,-5.405852034901433
-1.2829676871803604,-5.448284704820853
-1.2838206007550397,-5.480910930692904
-1.2842257431694728,-5.560851285794419
-1.2816709162015458,-5.677676444898598
-1.2813034777983814,-5.731825552305082
-1.2814469586692352,-5.763091429189633
-1.2795855216232324,-5.702938289221479
-1.281518016953817,-5.605513033416471
-1.282404305520401,-5.58486053412391
-1.2823765662660636,-5.5780306485643525
-1.2819286800879992,-5.5356558133174065
-1.2828501811348332,-5.5133311732377095
-1.2826459895574247,-5.48311955672239
-1.2832867129099286,-5.482862619012471
-1.28383954085852,-5.4600760832199855
-1.2829086787849246,-5.468160007845352
-1.2830708964625281,-5.440645237433799
-1.2836415235104395,-5.445420726848344
-1.2836754714961296,-5.433658165658515
-1.2828948517217313,-5.428953218633625
-1.2835168305485163,-5.432862395353883
-1.2841899943356472,-5.424252875663456
-1.2838666241014556,-5.439811380225019
-1.2837299291901736,-5.433415118396572
-1.2839859468367885,-5.425402409712822
-1.2844668686628393,-5.398258382992856
-1.2849063328051147,-5.365859474643427
-1.2835784770848908,-5.344962529315609
-1.2808235628492959,-5.339963659657082
-1.282657463391211,-5.2949998001364
-1.284020863980091,-5.27487825216044
-1.2843837960635438,-5.241919411099183
-1.2842389892116366,-5.216327305995447
-1.2846900081733341,-5.211764249622777
-1.2840373361403932,-5.216924986564893
-1.2856551498784057,-5.1650065259993605
-1.2847133462542564,-5.057337491897333
-1.2842226372806373,-4.930611576048498
-1.2839871624244892,-4.861828353171691
-1.2840563418640591,-4.832155571008234
-1.284465163222484,-4.822883433693801
-1.2853190105206678,-4.816661694189545
-1.2845675401659096,-4.820483207972815
-1.285677212794666,-4.843345286026674
-1.2859644365800473,-4.867731097147825
-1.2855674521132836,-4.917073831648701
-1.2871716196709984,-4.946415107715735
-1.287608706379097,-4.992724043729024
-1.2876311916422933,-5.051040185783889
-1.2871303301206372,-5.129029362921785
-1.286694170441107,-5.181293689326704
-1.286283314887075,-5.248046309402326
-1.2854565774887152,-5.330815903833472
-1.2848253511804832,-5.349070862204523
-1.2845175243596811,-5.324777909061526
-1.2855720557598154,-5.292601586817112
-1.2864844307681624,-5.237977620236708
-1.2871749769987846,-5.225548905509815
-1.2877788223307005,-5.213005070713267
-1.2873383414187984,-5.244725047031329
-1.2880267016095028,-5.26241506730223
-1.288878017216788,-5.265752698437406
-1.2890347542943807,-5.288684496033928
-1.2887462259642877,-5.347278200847631
-1.2883541077324139,-5.423492392940317
-1.28921631452251,-5.460179636782215
-1.2896346718840621,-5.454344692417003
-1.288913889009194,-5.514464273145153
-1.288274595569064,-5.549957342871038
-1.287190486707696,-5.529470003081912
-1.287018180489183,-5.4987715061697475
-1.2869555219891475,-5.47410234781172
-1.287207358529473,-5.458898598541169
-1.2857960830836892,-5.425666480118301
-1.2867126848159742,-5.398527636805056
-1.286332834459698,-5.3738663580969535
-1.2873817688042966,-5.30972054269779
-1.2870701124951092,-5.230348502913945
-1.28835937863152,-5.153143981499311
-1.2869207838784493,-5.084030018197523
-1.288034869372392,-5.032497686449095
-1.2872972924751513,-5.015940718261099
-1.2889344704977221,-5.026193318868425
-1.28895473094858,-4.9959474957287275
-1.2888707098956156,-4.975050159326018
-1.2877091179573736,-4.954654019509047
-1.2886045279874865,-4.949330703660688
-1.2894678327805595,-4.9318940881114814
-1.2886549311495157,-4.93973001491572
-1.288184869358466,-4.954685950942499
-1.2884299522467044,-4.985140589599475
-1.2872406188030998,-4.9883565682467985
-1.2881844282324337,-5.014613399367554
-1.28718874796855,-5.021242832281802
